insert Star
chunk size, average elapsed time
1000, 25535.78, 0.00
2000, 51244.35, 0.00
4000, 102354.35, 0.00
8000, 204846.96, 0.00
16000, 412529.81, 0.00
32000, 812874.82, 0.00
64000, 1632689.87, 0.00
128000, 3258869.65, 0.00
256000, 6540203.21, 0.00
512000, 13002429.56, 0.00
1024000, 26135555.00, 0.00
2048000, 52171430.50, 0.00
4096000, 104368552.25, 0.00
8192000, 208656302.50, 0.00
16384000, 416071401.00, 0.00
