point query Quadratic
chunk size, average elapsed time
1000, 222670
2000, 453165
4000, 901502
8000, 1805816
16000, 3590730
32000, 7214399
64000, 14429471
128000, 29176266
256000, 58910125
512000, 116277622
1024000, 230410469
2048000, 454793240
4096000, 900136533
8192000, 1788136584
16384000, 3565504917
