range query Quadratic
longitude min, lattitude min, timestamp min, longitude min, lattitude min, timestamp min, query_size, found, elasped time
outlier id 20, long 400.167, lat 116.215
 x 1.04402 64.752
 y -179.97 179.997
 z 9.4679e+08 1.3434e+09
24876976records have been loaded.
1.044024, -179.969593, 946789939.00,7.414821, -143.972940, 986450533.10,10, 0, 6
4.229422, -179.969593, 946789939.00,10.600219, -143.972940, 986450533.10,10, 0, 1
7.414821, -179.969593, 946789939.00,13.785618, -143.972940, 986450533.10,10, 0, 1
10.600219, -179.969593, 946789939.00,16.971016, -143.972940, 986450533.10,10, 0, 2
13.785618, -179.969593, 946789939.00,20.156415, -143.972940, 986450533.10,10, 0, 1
16.971016, -179.969593, 946789939.00,23.341813, -143.972940, 986450533.10,10, 0, 1
20.156415, -179.969593, 946789939.00,26.527212, -143.972940, 986450533.10,10, 0, 2
23.341813, -179.969593, 946789939.00,29.712610, -143.972940, 986450533.10,10, 0, 1
26.527212, -179.969593, 946789939.00,32.898009, -143.972940, 986450533.10,10, 0, 1
29.712610, -179.969593, 946789939.00,36.083407, -143.972940, 986450533.10,10, 0, 1
32.898009, -179.969593, 946789939.00,39.268805, -143.972940, 986450533.10,10, 0, 2
36.083407, -179.969593, 946789939.00,42.454204, -143.972940, 986450533.10,10, 0, 1
39.268805, -179.969593, 946789939.00,45.639602, -143.972940, 986450533.10,10, 0, 1
42.454204, -179.969593, 946789939.00,48.825001, -143.972940, 986450533.10,10, 0, 2
45.639602, -179.969593, 946789939.00,52.010399, -143.972940, 986450533.10,10, 0, 1
48.825001, -179.969593, 946789939.00,55.195798, -143.972940, 986450533.10,10, 0, 1
52.010399, -179.969593, 946789939.00,58.381196, -143.972940, 986450533.10,10, 0, 1
55.195798, -179.969593, 946789939.00,61.566595, -143.972940, 986450533.10,10, 0, 1
58.381196, -179.969593, 946789939.00,64.751993, -143.972940, 986450533.10,10, 0, 1
1.044024, -161.971267, 946789939.00,7.414821, -125.974613, 986450533.10,10, 0, 1
4.229422, -161.971267, 946789939.00,10.600219, -125.974613, 986450533.10,10, 0, 1
7.414821, -161.971267, 946789939.00,13.785618, -125.974613, 986450533.10,10, 0, 1
10.600219, -161.971267, 946789939.00,16.971016, -125.974613, 986450533.10,10, 0, 1
13.785618, -161.971267, 946789939.00,20.156415, -125.974613, 986450533.10,10, 0, 1
16.971016, -161.971267, 946789939.00,23.341813, -125.974613, 986450533.10,10, 0, 1
20.156415, -161.971267, 946789939.00,26.527212, -125.974613, 986450533.10,10, 0, 2
23.341813, -161.971267, 946789939.00,29.712610, -125.974613, 986450533.10,10, 0, 1
26.527212, -161.971267, 946789939.00,32.898009, -125.974613, 986450533.10,10, 0, 1
29.712610, -161.971267, 946789939.00,36.083407, -125.974613, 986450533.10,10, 0, 2
32.898009, -161.971267, 946789939.00,39.268805, -125.974613, 986450533.10,10, 0, 1
36.083407, -161.971267, 946789939.00,42.454204, -125.974613, 986450533.10,10, 0, 2
39.268805, -161.971267, 946789939.00,45.639602, -125.974613, 986450533.10,10, 0, 1
42.454204, -161.971267, 946789939.00,48.825001, -125.974613, 986450533.10,10, 0, 1
45.639602, -161.971267, 946789939.00,52.010399, -125.974613, 986450533.10,10, 0, 1
48.825001, -161.971267, 946789939.00,55.195798, -125.974613, 986450533.10,10, 0, 2
52.010399, -161.971267, 946789939.00,58.381196, -125.974613, 986450533.10,10, 0, 1
55.195798, -161.971267, 946789939.00,61.566595, -125.974613, 986450533.10,10, 0, 1
58.381196, -161.971267, 946789939.00,64.751993, -125.974613, 986450533.10,10, 0, 1
1.044024, -143.972940, 946789939.00,7.414821, -107.976286, 986450533.10,10, 0, 1
4.229422, -143.972940, 946789939.00,10.600219, -107.976286, 986450533.10,10, 0, 1
7.414821, -143.972940, 946789939.00,13.785618, -107.976286, 986450533.10,10, 0, 2
10.600219, -143.972940, 946789939.00,16.971016, -107.976286, 986450533.10,10, 0, 1
13.785618, -143.972940, 946789939.00,20.156415, -107.976286, 986450533.10,10, 0, 1
16.971016, -143.972940, 946789939.00,23.341813, -107.976286, 986450533.10,10, 0, 1
20.156415, -143.972940, 946789939.00,26.527212, -107.976286, 986450533.10,10, 0, 1
23.341813, -143.972940, 946789939.00,29.712610, -107.976286, 986450533.10,10, 0, 1
26.527212, -143.972940, 946789939.00,32.898009, -107.976286, 986450533.10,10, 0, 2
29.712610, -143.972940, 946789939.00,36.083407, -107.976286, 986450533.10,10, 0, 1
32.898009, -143.972940, 946789939.00,39.268805, -107.976286, 986450533.10,10, 0, 1
36.083407, -143.972940, 946789939.00,42.454204, -107.976286, 986450533.10,10, 0, 2
39.268805, -143.972940, 946789939.00,45.639602, -107.976286, 986450533.10,10, 0, 2
42.454204, -143.972940, 946789939.00,48.825001, -107.976286, 986450533.10,10, 0, 1
45.639602, -143.972940, 946789939.00,52.010399, -107.976286, 986450533.10,10, 0, 2
48.825001, -143.972940, 946789939.00,55.195798, -107.976286, 986450533.10,10, 0, 2
52.010399, -143.972940, 946789939.00,58.381196, -107.976286, 986450533.10,10, 0, 1
55.195798, -143.972940, 946789939.00,61.566595, -107.976286, 986450533.10,10, 0, 1
58.381196, -143.972940, 946789939.00,64.751993, -107.976286, 986450533.10,10, 0, 1
1.044024, -125.974613, 946789939.00,7.414821, -89.977960, 986450533.10,10, 0, 1
4.229422, -125.974613, 946789939.00,10.600219, -89.977960, 986450533.10,10, 0, 1
7.414821, -125.974613, 946789939.00,13.785618, -89.977960, 986450533.10,10, 0, 1
10.600219, -125.974613, 946789939.00,16.971016, -89.977960, 986450533.10,10, 0, 1
13.785618, -125.974613, 946789939.00,20.156415, -89.977960, 986450533.10,10, 0, 1
16.971016, -125.974613, 946789939.00,23.341813, -89.977960, 986450533.10,10, 0, 1
20.156415, -125.974613, 946789939.00,26.527212, -89.977960, 986450533.10,10, 0, 1
23.341813, -125.974613, 946789939.00,29.712610, -89.977960, 986450533.10,10, 0, 2
26.527212, -125.974613, 946789939.00,32.898009, -89.977960, 986450533.10,10, 0, 1
29.712610, -125.974613, 946789939.00,36.083407, -89.977960, 986450533.10,10, 0, 1
32.898009, -125.974613, 946789939.00,39.268805, -89.977960, 986450533.10,10, 0, 2
36.083407, -125.974613, 946789939.00,42.454204, -89.977960, 986450533.10,10, 0, 1
39.268805, -125.974613, 946789939.00,45.639602, -89.977960, 986450533.10,10, 0, 1
42.454204, -125.974613, 946789939.00,48.825001, -89.977960, 986450533.10,10, 0, 2
45.639602, -125.974613, 946789939.00,52.010399, -89.977960, 986450533.10,10, 0, 2
48.825001, -125.974613, 946789939.00,55.195798, -89.977960, 986450533.10,10, 0, 1
52.010399, -125.974613, 946789939.00,58.381196, -89.977960, 986450533.10,10, 0, 1
55.195798, -125.974613, 946789939.00,61.566595, -89.977960, 986450533.10,10, 0, 1
58.381196, -125.974613, 946789939.00,64.751993, -89.977960, 986450533.10,10, 0, 1
1.044024, -107.976286, 946789939.00,7.414821, -71.979633, 986450533.10,10, 0, 1
4.229422, -107.976286, 946789939.00,10.600219, -71.979633, 986450533.10,10, 0, 2
7.414821, -107.976286, 946789939.00,13.785618, -71.979633, 986450533.10,10, 0, 1
10.600219, -107.976286, 946789939.00,16.971016, -71.979633, 986450533.10,10, 0, 1
13.785618, -107.976286, 946789939.00,20.156415, -71.979633, 986450533.10,10, 0, 1
16.971016, -107.976286, 946789939.00,23.341813, -71.979633, 986450533.10,10, 0, 2
20.156415, -107.976286, 946789939.00,26.527212, -71.979633, 986450533.10,10, 0, 2
23.341813, -107.976286, 946789939.00,29.712610, -71.979633, 986450533.10,10, 0, 2
26.527212, -107.976286, 946789939.00,32.898009, -71.979633, 986450533.10,10, 0, 1
29.712610, -107.976286, 946789939.00,36.083407, -71.979633, 986450533.10,10, 0, 1
32.898009, -107.976286, 946789939.00,39.268805, -71.979633, 986450533.10,10, 0, 2
36.083407, -107.976286, 946789939.00,42.454204, -71.979633, 986450533.10,10, 0, 1
39.268805, -107.976286, 946789939.00,45.639602, -71.979633, 986450533.10,10, 0, 1
42.454204, -107.976286, 946789939.00,48.825001, -71.979633, 986450533.10,10, 0, 2
45.639602, -107.976286, 946789939.00,52.010399, -71.979633, 986450533.10,10, 0, 1
48.825001, -107.976286, 946789939.00,55.195798, -71.979633, 986450533.10,10, 0, 2
52.010399, -107.976286, 946789939.00,58.381196, -71.979633, 986450533.10,10, 0, 2
55.195798, -107.976286, 946789939.00,61.566595, -71.979633, 986450533.10,10, 0, 1
58.381196, -107.976286, 946789939.00,64.751993, -71.979633, 986450533.10,10, 0, 1
1.044024, -89.977960, 946789939.00,7.414821, -53.981306, 986450533.10,10, 0, 1
4.229422, -89.977960, 946789939.00,10.600219, -53.981306, 986450533.10,10, 0, 2
7.414821, -89.977960, 946789939.00,13.785618, -53.981306, 986450533.10,10, 0, 1
10.600219, -89.977960, 946789939.00,16.971016, -53.981306, 986450533.10,10, 0, 1
13.785618, -89.977960, 946789939.00,20.156415, -53.981306, 986450533.10,10, 0, 1
16.971016, -89.977960, 946789939.00,23.341813, -53.981306, 986450533.10,10, 0, 2
20.156415, -89.977960, 946789939.00,26.527212, -53.981306, 986450533.10,10, 0, 1
23.341813, -89.977960, 946789939.00,29.712610, -53.981306, 986450533.10,10, 0, 1
