insert Quadratic
chunk size, average elapsed time
1000, 9799.62, 0.00
2000, 19556.85, 0.00
4000, 39189.58, 0.00
8000, 78434.19, 0.00
16000, 157444.42, 0.00
32000, 312554.21, 0.00
64000, 630473.28, 0.00
128000, 1251448.63, 0.00
256000, 2591724.71, 0.00
512000, 4993879.15, 0.00
1024000, 10073119.24, 0.00
2048000, 19705752.25, 0.00
4096000, 39774241.50, 0.00
8192000, 79745831.50, 0.00
16384000, 159313480.00, 0.00
