point query Linear
chunk size, average elapsed time
24876977records have been loaded.
data have been inserted
chunk size, start_pos, end_pos 10000999
0, 999, 272, 1967
0, 999, 273, 212
0, 999, 274, 69
0, 999, 275, 1304
0, 999, 276, 885
0, 999, 277, 774
0, 999, 278, 298
0, 999, 279, 2451
0, 999, 280, 1289
0, 999, 281, 969
0, 999, 282, 1718
0, 999, 283, 666
0, 999, 284, 1124
0, 999, 285, 2148
0, 999, 286, 928
0, 999, 287, 1311
0, 999, 288, 1656
0, 999, 289, 1738
0, 999, 290, 465
0, 999, 291, 581
0, 999, 292, 1154
0, 999, 293, 1461
0, 999, 294, 2200
0, 999, 295, 427
0, 999, 296, 3032
0, 999, 297, 2221
0, 999, 298, 1591
0, 999, 299, 2059
0, 999, 300, 1221
0, 999, 301, 1094
0, 999, 302, 1230
0, 999, 303, 1037
0, 999, 304, 438
0, 999, 305, 1158
0, 999, 306, 1057
0, 999, 307, 3819
0, 999, 308, 1502
0, 999, 309, 953
0, 999, 310, 582
0, 999, 311, 521
0, 999, 312, 790
0, 999, 313, 1655
0, 999, 314, 2871
0, 999, 315, 1003
0, 999, 316, 574
0, 999, 317, 779
0, 999, 318, 649
0, 999, 319, 980
0, 999, 320, 2068
0, 999, 321, 1284
0, 999, 322, 56
0, 999, 323, 436
0, 999, 324, 770
0, 999, 325, 1234
0, 999, 326, 999
0, 999, 327, 1365
0, 999, 328, 1130
0, 999, 329, 1321
0, 999, 330, 537
0, 999, 331, 1825
0, 999, 332, 411
0, 999, 333, 283
0, 999, 334, 1165
0, 999, 335, 376
0, 999, 336, 264
0, 999, 337, 686
0, 999, 338, 546
0, 999, 339, 3111
0, 999, 340, 1643
0, 999, 341, 2030
0, 999, 342, 534
0, 999, 343, 484
0, 999, 344, 685
0, 999, 345, 931
0, 999, 346, 1172
0, 999, 347, 1243
0, 999, 348, 1096
0, 999, 349, 558
0, 999, 350, 2643
0, 999, 351, 1857
0, 999, 352, 2705
0, 999, 353, 2171
0, 999, 354, 1788
0, 999, 355, 600
0, 999, 356, 1561
0, 999, 357, 669
0, 999, 358, 1879
0, 999, 359, 2263
0, 999, 360, 580
0, 999, 361, 160
0, 999, 362, 1057
0, 999, 363, 1323
0, 999, 364, 163
0, 999, 365, 1516
0, 999, 366, 1041
0, 999, 367, 1080
0, 999, 368, 392
0, 999, 369, 737
0, 999, 370, 2045
0, 999, 371, 744
0, 999, 372, 189
0, 999, 373, 1936
0, 999, 374, 1154
0, 999, 375, 2737
0, 999, 376, 593
0, 999, 377, 479
0, 999, 378, 1173
0, 999, 379, 80
0, 999, 380, 253
0, 999, 381, 934
0, 999, 382, 1041
0, 999, 383, 1664
0, 999, 384, 740
0, 999, 385, 1166
0, 999, 386, 1183
0, 999, 387, 2535
0, 999, 388, 2301
0, 999, 389, 2384
0, 999, 390, 1832
0, 999, 391, 1005
0, 999, 392, 2175
0, 999, 393, 2497
0, 999, 394, 1728
0, 999, 395, 1069
0, 999, 396, 2688
0, 999, 397, 1447
0, 999, 398, 316
0, 999, 399, 1073
0, 999, 400, 383
0, 999, 401, 206
0, 999, 402, 374
0, 999, 403, 2202
0, 999, 404, 2938
0, 999, 405, 1906
0, 999, 406, 99
0, 999, 407, 374
0, 999, 408, 1677
0, 999, 409, 1464
0, 999, 410, 1906
0, 999, 411, 1739
0, 999, 412, 1454
0, 999, 413, 485
0, 999, 414, 118
0, 999, 415, 1030
0, 999, 416, 2331
0, 999, 417, 2513
0, 999, 418, 559
0, 999, 419, 848
0, 999, 420, 1044
0, 999, 421, 744
0, 999, 422, 1446
0, 999, 423, 2522
0, 999, 424, 1470
0, 999, 425, 1126
0, 999, 426, 1031
0, 999, 427, 2569
0, 999, 428, 1366
0, 999, 429, 1070
0, 999, 430, 958
0, 999, 431, 947
0, 999, 432, 402
0, 999, 433, 2505
0, 999, 434, 1343
0, 999, 435, 335
0, 999, 436, 1002
0, 999, 437, 1044
0, 999, 438, 1129
0, 999, 439, 1408
0, 999, 440, 2028
0, 999, 441, 650
0, 999, 442, 478
0, 999, 443, 987
0, 999, 444, 399
0, 999, 445, 1604
0, 999, 446, 681
0, 999, 447, 1145
0, 999, 448, 123
0, 999, 449, 1322
0, 999, 450, 1139
0, 999, 451, 1703
0, 999, 452, 2320
0, 999, 453, 2023
0, 999, 454, 1942
0, 999, 455, 1582
0, 999, 456, 150
0, 999, 457, 2159
0, 999, 458, 42
0, 999, 459, 1250
0, 999, 460, 748
0, 999, 461, 2208
0, 999, 462, 429
0, 999, 463, 1292
0, 999, 464, 1145
0, 999, 465, 947
0, 999, 466, 691
0, 999, 467, 1079
0, 999, 468, 660
0, 999, 469, 65
0, 999, 470, 400
0, 999, 471, 1954
0, 999, 472, 431
0, 999, 473, 3731
0, 999, 474, 1297
0, 999, 475, 376
0, 999, 476, 886
0, 999, 477, 395
0, 999, 478, 377
0, 999, 479, 1731
0, 999, 480, 86
0, 999, 481, 2118
0, 999, 482, 1401
0, 999, 483, 512
0, 999, 484, 1542
0, 999, 485, 1756
0, 999, 486, 3649
0, 999, 487, 526
0, 999, 488, 2260
0, 999, 489, 478
0, 999, 490, 1269
0, 999, 491, 901
0, 999, 492, 1306
0, 999, 493, 2171
0, 999, 494, 1679
0, 999, 495, 440
0, 999, 496, 50
0, 999, 497, 1327
0, 999, 498, 2032
0, 999, 499, 72
0, 999, 500, 2845
0, 999, 501, 108
0, 999, 502, 657
0, 999, 503, 835
0, 999, 504, 453
0, 999, 505, 1555
0, 999, 506, 1879
0, 999, 507, 478
0, 999, 508, 900
0, 999, 509, 1215
0, 999, 510, 342
0, 999, 511, 794
0, 999, 512, 711
0, 999, 513, 1956
0, 999, 514, 22
0, 999, 515, 745
0, 999, 516, 593
0, 999, 517, 620
0, 999, 518, 1735
0, 999, 519, 820
0, 999, 520, 1779
0, 999, 521, 643
0, 999, 522, 1262
0, 999, 523, 1608
0, 999, 524, 1138
0, 999, 525, 2265
0, 999, 526, 917
0, 999, 527, 215
0, 999, 528, 1093
0, 999, 529, 195
0, 999, 530, 1159
0, 999, 531, 150
0, 999, 532, 39
0, 999, 533, 1569
0, 999, 534, 1689
0, 999, 535, 1130
0, 999, 536, 883
0, 999, 537, 625
0, 999, 538, 1531
0, 999, 539, 111
0, 999, 540, 1268
0, 999, 541, 59
0, 999, 542, 1434
0, 999, 543, 1066
0, 999, 544, 947
0, 999, 545, 438
0, 999, 546, 2074
0, 999, 547, 2156
0, 999, 548, 1166
0, 999, 549, 978
0, 999, 550, 1548
0, 999, 551, 1394
0, 999, 552, 753
0, 999, 553, 1090
0, 999, 554, 565
0, 999, 555, 1318
0, 999, 556, 1369
0, 999, 557, 1529
0, 999, 558, 994
0, 999, 559, 704
0, 999, 560, 380
0, 999, 561, 2191
0, 999, 562, 1491
0, 999, 563, 3021
0, 999, 564, 908
0, 999, 565, 107
0, 999, 566, 406
0, 999, 567, 49
0, 999, 568, 1055
0, 999, 569, 1245
0, 999, 570, 1375
0, 999, 571, 586
0, 999, 572, 1135
0, 999, 573, 1256
0, 999, 574, 1443
0, 999, 575, 844
0, 999, 576, 2830
0, 999, 577, 1723
0, 999, 578, 974
0, 999, 579, 1467
0, 999, 580, 135
0, 999, 581, 598
0, 999, 582, 269
0, 999, 583, 18
0, 999, 584, 1703
0, 999, 585, 719
0, 999, 586, 1046
0, 999, 587, 1264
0, 999, 588, 892
0, 999, 589, 1290
0, 999, 590, 2662
0, 999, 591, 1126
0, 999, 592, 1969
0, 999, 593, 1332
0, 999, 594, 1057
0, 999, 595, 463
0, 999, 596, 1635
0, 999, 597, 1761
0, 999, 598, 2423
0, 999, 599, 2388
0, 999, 600, 275
0, 999, 601, 1758
0, 999, 602, 50
0, 999, 603, 1433
0, 999, 604, 508
0, 999, 605, 1358
0, 999, 606, 809
0, 999, 607, 1443
0, 999, 608, 110
0, 999, 609, 2291
0, 999, 610, 855
0, 999, 611, 1148
0, 999, 612, 548
0, 999, 613, 200
0, 999, 614, 1379
0, 999, 615, 1458
0, 999, 616, 408
0, 999, 617, 1858
0, 999, 618, 2314
0, 999, 619, 1467
0, 999, 620, 920
0, 999, 621, 1159
0, 999, 622, 1440
0, 999, 623, 1847
0, 999, 624, 2090
0, 999, 625, 1277
0, 999, 626, 1385
0, 999, 627, 1818
0, 999, 628, 407
0, 999, 629, 560
0, 999, 630, 977
0, 999, 631, 611
0, 999, 632, 1273
0, 999, 633, 1012
0, 999, 634, 3860
0, 999, 635, 824
0, 999, 636, 256
0, 999, 637, 3011
0, 999, 638, 408
0, 999, 639, 809
0, 999, 640, 1347
0, 999, 641, 1143
0, 999, 642, 423
0, 999, 643, 1332
0, 999, 644, 141
0, 999, 645, 2627
0, 999, 646, 420
0, 999, 647, 1429
0, 999, 648, 1051
0, 999, 649, 523
0, 999, 650, 1143
0, 999, 651, 2831
0, 999, 652, 561
0, 999, 653, 268
0, 999, 654, 845
0, 999, 655, 1754
0, 999, 656, 2156
0, 999, 657, 2520
0, 999, 658, 1578
0, 999, 659, 2684
0, 999, 660, 128
0, 999, 661, 112
0, 999, 662, 178
0, 999, 663, 1997
0, 999, 664, 1186
0, 999, 665, 1478
0, 999, 666, 1876
0, 999, 667, 2580
0, 999, 668, 987
0, 999, 669, 2040
0, 999, 670, 52
0, 999, 671, 429
0, 999, 672, 753
0, 999, 673, 424
0, 999, 674, 2594
0, 999, 675, 522
0, 999, 676, 135
0, 999, 677, 123
0, 999, 678, 755
0, 999, 679, 2076
0, 999, 680, 1604
0, 999, 681, 273
0, 999, 682, 1812
0, 999, 683, 383
0, 999, 684, 483
0, 999, 685, 324
0, 999, 686, 1088
0, 999, 687, 2885
0, 999, 688, 1729
0, 999, 689, 4035
0, 999, 690, 181
0, 999, 691, 1151
0, 999, 692, 211
0, 999, 693, 77
0, 999, 694, 1553
0, 999, 695, 1084
0, 999, 696, 782
0, 999, 697, 1245
0, 999, 698, 584
0, 999, 699, 1666
0, 999, 700, 1890
0, 999, 701, 1810
0, 999, 702, 189
0, 999, 703, 3184
0, 999, 704, 594
0, 999, 705, 1105
0, 999, 706, 1655
0, 999, 707, 519
0, 999, 708, 844
0, 999, 709, 948
0, 999, 710, 116
0, 999, 711, 1213
0, 999, 712, 858
0, 999, 713, 1521
0, 999, 714, 847
0, 999, 715, 1100
0, 999, 716, 1017
0, 999, 717, 1292
0, 999, 718, 3389
0, 999, 719, 1824
0, 999, 720, 386
0, 999, 721, 140
0, 999, 722, 1057
0, 999, 723, 1171
0, 999, 724, 665
0, 999, 725, 1039
0, 999, 726, 569
0, 999, 727, 1370
0, 999, 728, 1626
0, 999, 729, 1152
0, 999, 730, 470
0, 999, 731, 790
0, 999, 732, 1420
0, 999, 733, 132
0, 999, 734, 312
0, 999, 735, 1728
0, 999, 736, 1556
0, 999, 737, 808
0, 999, 738, 1596
0, 999, 739, 1877
0, 999, 740, 336
0, 999, 741, 634
0, 999, 742, 608
0, 999, 743, 504
0, 999, 744, 604
0, 999, 745, 182
0, 999, 746, 93
0, 999, 747, 1307
0, 999, 748, 642
0, 999, 749, 1186
0, 999, 750, 726
0, 999, 751, 1134
0, 999, 752, 2585
0, 999, 753, 202
0, 999, 754, 1237
0, 999, 755, 1342
0, 999, 756, 1590
0, 999, 757, 1014
0, 999, 758, 749
0, 999, 759, 1528
0, 999, 760, 816
0, 999, 761, 1500
0, 999, 762, 343
0, 999, 763, 1818
0, 999, 764, 1782
0, 999, 765, 3260
0, 999, 766, 417
0, 999, 767, 290
0, 999, 768, 2045
0, 999, 769, 979
0, 999, 770, 752
0, 999, 771, 1591
0, 999, 772, 1291
0, 999, 773, 127
0, 999, 774, 2302
0, 999, 775, 810
0, 999, 776, 1897
0, 999, 777, 871
0, 999, 778, 44
0, 999, 779, 3568
0, 999, 780, 1607
0, 999, 781, 1542
0, 999, 782, 324
0, 999, 783, 1145
0, 999, 784, 403
0, 999, 785, 1305
0, 999, 786, 433
0, 999, 787, 106
0, 999, 788, 1123
0, 999, 789, 749
0, 999, 790, 1161
0, 999, 791, 1682
0, 999, 792, 717
0, 999, 793, 622
0, 999, 794, 216
0, 999, 795, 2794
0, 999, 796, 1723
0, 999, 797, 1541
0, 999, 798, 1393
0, 999, 799, 819
0, 999, 800, 639
0, 999, 801, 940
0, 999, 802, 562
0, 999, 803, 152
0, 999, 804, 2395
0, 999, 805, 462
0, 999, 806, 1512
0, 999, 807, 1333
0, 999, 808, 2216
0, 999, 809, 503
0, 999, 810, 665
0, 999, 811, 2598
0, 999, 812, 579
0, 999, 813, 466
0, 999, 814, 431
0, 999, 815, 1850
0, 999, 816, 1780
0, 999, 817, 450
0, 999, 818, 138
0, 999, 819, 508
0, 999, 820, 701
0, 999, 821, 276
0, 999, 822, 785
0, 999, 823, 82
0, 999, 824, 324
0, 999, 825, 828
0, 999, 826, 248
0, 999, 827, 1648
0, 999, 828, 796
0, 999, 829, 653
0, 999, 830, 1669
0, 999, 831, 1733
0, 999, 832, 1505
0, 999, 833, 951
0, 999, 834, 2472
0, 999, 835, 2807
0, 999, 836, 1675
0, 999, 837, 1231
0, 999, 838, 1123
0, 999, 839, 384
0, 999, 840, 241
0, 999, 841, 1342
0, 999, 842, 1512
0, 999, 843, 172
0, 999, 844, 319
0, 999, 845, 468
0, 999, 846, 1530
0, 999, 847, 61
0, 999, 848, 842
0, 999, 849, 414
0, 999, 850, 1988
0, 999, 851, 1047
0, 999, 852, 119
0, 999, 853, 1973
0, 999, 854, 708
0, 999, 855, 1409
0, 999, 856, 2376
0, 999, 857, 104
0, 999, 858, 1649
0, 999, 859, 715
0, 999, 860, 1652
0, 999, 861, 2045
0, 999, 862, 768
0, 999, 863, 921
0, 999, 864, 1591
0, 999, 865, 1228
0, 999, 866, 2754
0, 999, 867, 1729
0, 999, 868, 1187
0, 999, 869, 1270
0, 999, 870, 1442
0, 999, 871, 599
0, 999, 872, 1319
0, 999, 873, 1256
0, 999, 874, 995
0, 999, 875, 804
0, 999, 876, 1474
0, 999, 877, 1899
0, 999, 878, 1025
0, 999, 879, 1543
0, 999, 880, 741
0, 999, 881, 1210
0, 999, 882, 1858
0, 999, 883, 1536
0, 999, 884, 1425
0, 999, 885, 1368
0, 999, 886, 619
0, 999, 887, 143
0, 999, 888, 626
0, 999, 889, 184
0, 999, 890, 429
0, 999, 891, 1344
0, 999, 892, 138
0, 999, 893, 991
0, 999, 894, 868
0, 999, 895, 112
0, 999, 896, 331
0, 999, 897, 213
0, 999, 898, 282
0, 999, 899, 1111
0, 999, 900, 1617
0, 999, 901, 952
0, 999, 902, 2398
0, 999, 903, 1194
0, 999, 904, 604
0, 999, 905, 1362
0, 999, 906, 1225
0, 999, 907, 466
0, 999, 908, 1142
0, 999, 909, 645
0, 999, 910, 2253
0, 999, 911, 473
0, 999, 912, 945
0, 999, 913, 1095
0, 999, 914, 1931
0, 999, 915, 1815
0, 999, 916, 1022
0, 999, 917, 861
0, 999, 918, 779
0, 999, 919, 2181
0, 999, 920, 827
0, 999, 921, 430
0, 999, 922, 495
0, 999, 923, 371
0, 999, 924, 1579
0, 999, 925, 1510
0, 999, 926, 1386
0, 999, 927, 814
0, 999, 928, 1268
0, 999, 929, 401
0, 999, 930, 135
0, 999, 931, 1499
0, 999, 932, 81
0, 999, 933, 435
0, 999, 934, 1158
0, 999, 935, 1563
0, 999, 936, 1495
0, 999, 937, 829
0, 999, 938, 1564
0, 999, 939, 910
0, 999, 940, 133
0, 999, 941, 517
0, 999, 942, 1816
0, 999, 943, 2006
0, 999, 944, 784
0, 999, 945, 997
0, 999, 946, 491
0, 999, 947, 441
0, 999, 948, 525
0, 999, 949, 645
0, 999, 950, 1788
0, 999, 951, 361
0, 999, 952, 1053
0, 999, 953, 1241
0, 999, 954, 550
0, 999, 955, 2609
0, 999, 956, 1876
0, 999, 957, 282
0, 999, 958, 548
0, 999, 959, 1019
0, 999, 960, 2140
0, 999, 961, 76
0, 999, 962, 488
0, 999, 963, 1044
0, 999, 964, 1613
0, 999, 965, 104
0, 999, 966, 1573
0, 999, 967, 2804
0, 999, 968, 1126
0, 999, 969, 2058
0, 999, 970, 1885
0, 999, 971, 2132
0, 999, 972, 2611
0, 999, 973, 1555
0, 999, 974, 227
0, 999, 975, 313
0, 999, 976, 1156
0, 999, 977, 414
0, 999, 978, 1305
0, 999, 979, 2518
0, 999, 980, 724
0, 999, 981, 1769
0, 999, 982, 544
0, 999, 983, 1367
0, 999, 984, 322
0, 999, 985, 1583
0, 999, 986, 46
0, 999, 987, 1481
0, 999, 988, 58
0, 999, 989, 1908
0, 999, 990, 362
0, 999, 991, 1363
0, 999, 992, 1974
0, 999, 993, 1171
0, 999, 994, 1126
0, 999, 995, 1253
0, 999, 996, 1101
0, 999, 997, 148
0, 999, 998, 1337
0, 999, 999, 733
end loop: total found 1000, count 1000
show the result here1000, 1138069
1000, 1999, 1000, 329
1000, 1999, 1001, 611
1000, 1999, 1002, 1500
1000, 1999, 1003, 1072
1000, 1999, 1004, 1090
1000, 1999, 1005, 418
1000, 1999, 1006, 751
1000, 1999, 1007, 1107
1000, 1999, 1008, 337
1000, 1999, 1009, 163
1000, 1999, 1010, 365
1000, 1999, 1011, 1210
1000, 1999, 1012, 1455
1000, 1999, 1013, 1943
1000, 1999, 1014, 262
1000, 1999, 1015, 1048
1000, 1999, 1016, 1251
1000, 1999, 1017, 2074
1000, 1999, 1018, 818
1000, 1999, 1019, 375
1000, 1999, 1020, 680
1000, 1999, 1021, 1563
1000, 1999, 1022, 459
1000, 1999, 1023, 2265
1000, 1999, 1024, 1226
1000, 1999, 1025, 630
1000, 1999, 1026, 2347
1000, 1999, 1027, 1673
1000, 1999, 1028, 666
1000, 1999, 1029, 1764
1000, 1999, 1030, 1350
1000, 1999, 1031, 1955
1000, 1999, 1032, 1943
1000, 1999, 1033, 1459
1000, 1999, 1034, 1266
1000, 1999, 1035, 132
1000, 1999, 1036, 974
1000, 1999, 1037, 1901
1000, 1999, 1038, 2351
1000, 1999, 1039, 1104
1000, 1999, 1040, 1414
