insert Linear
chunk size, average elapsed time
1000, 1873.82, 6762.26
2000, 4188.38, 15885.80
4000, 10113.70, 40055.84
8000, 25090.11, 101282.23
16000, 55960.26, 253216.79
32000, 117422.22, 617451.58
64000, 246528.10, 1469278.73
128000, 523262.28, 3451037.99
256000, 1153759.74, 7827078.03
512000, 2647616.77, 19264690.33
1024000, 5555661.46, 50987313.83
2048000, 11737722.33, 142316989.75
4096000, 24591719.00, 398204124.83
8192000, 51900596.33, 1004086401.00
16384000, 113708736.00, 1729542153.00
