range query Quadratic
longitude min, lattitude min, timestamp min, longitude min, lattitude min, timestamp min, query_size, found, elasped time
24876976records have been loaded.
946789939.000000, -179.969593, 0.00,986450533.100000, -143.972940, 18.10,10, 0, 5
966620236.050000, -179.969593, 0.00,1006280830.150000, -143.972940, 18.10,10, 0, 0
986450533.100000, -179.969593, 0.00,1026111127.200000, -143.972940, 18.10,10, 0, 0
1006280830.150000, -179.969593, 0.00,1045941424.250000, -143.972940, 18.10,10, 0, 0
1026111127.200000, -179.969593, 0.00,1065771721.300000, -143.972940, 18.10,10, 0, 0
1045941424.250000, -179.969593, 0.00,1085602018.350000, -143.972940, 18.10,10, 0, 0
1065771721.300000, -179.969593, 0.00,1105432315.400000, -143.972940, 18.10,10, 0, 0
1085602018.350000, -179.969593, 0.00,1125262612.450000, -143.972940, 18.10,10, 0, 0
1105432315.400000, -179.969593, 0.00,1145092909.500000, -143.972940, 18.10,10, 0, 0
1125262612.450000, -179.969593, 0.00,1164923206.550000, -143.972940, 18.10,10, 0, 1
1145092909.500000, -179.969593, 0.00,1184753503.600000, -143.972940, 18.10,10, 0, 0
1164923206.549999, -179.969593, 0.00,1204583800.650000, -143.972940, 18.10,10, 0, 0
1184753503.599999, -179.969593, 0.00,1224414097.700000, -143.972940, 18.10,10, 0, 0
1204583800.649999, -179.969593, 0.00,1244244394.750000, -143.972940, 18.10,10, 0, 0
1224414097.699999, -179.969593, 0.00,1264074691.799999, -143.972940, 18.10,10, 0, 0
1244244394.749999, -179.969593, 0.00,1283904988.849999, -143.972940, 18.10,10, 0, 0
1264074691.799999, -179.969593, 0.00,1303735285.899999, -143.972940, 18.10,10, 0, 0
1283904988.849999, -179.969593, 0.00,1323565582.949999, -143.972940, 18.10,10, 0, 0
1303735285.899999, -179.969593, 0.00,1343395879.999999, -143.972940, 18.10,10, 0, 0
946789939.000000, -161.971267, 0.00,986450533.100000, -125.974613, 18.10,10, 0, 0
966620236.050000, -161.971267, 0.00,1006280830.150000, -125.974613, 18.10,10, 0, 0
986450533.100000, -161.971267, 0.00,1026111127.200000, -125.974613, 18.10,10, 0, 0
1006280830.150000, -161.971267, 0.00,1045941424.250000, -125.974613, 18.10,10, 0, 0
1026111127.200000, -161.971267, 0.00,1065771721.300000, -125.974613, 18.10,10, 0, 0
1045941424.250000, -161.971267, 0.00,1085602018.350000, -125.974613, 18.10,10, 0, 0
1065771721.300000, -161.971267, 0.00,1105432315.400000, -125.974613, 18.10,10, 0, 0
1085602018.350000, -161.971267, 0.00,1125262612.450000, -125.974613, 18.10,10, 0, 1
1105432315.400000, -161.971267, 0.00,1145092909.500000, -125.974613, 18.10,10, 0, 0
1125262612.450000, -161.971267, 0.00,1164923206.550000, -125.974613, 18.10,10, 0, 0
1145092909.500000, -161.971267, 0.00,1184753503.600000, -125.974613, 18.10,10, 0, 1
1164923206.549999, -161.971267, 0.00,1204583800.650000, -125.974613, 18.10,10, 0, 0
1184753503.599999, -161.971267, 0.00,1224414097.700000, -125.974613, 18.10,10, 0, 0
1204583800.649999, -161.971267, 0.00,1244244394.750000, -125.974613, 18.10,10, 0, 0
1224414097.699999, -161.971267, 0.00,1264074691.799999, -125.974613, 18.10,10, 0, 0
1244244394.749999, -161.971267, 0.00,1283904988.849999, -125.974613, 18.10,10, 0, 0
1264074691.799999, -161.971267, 0.00,1303735285.899999, -125.974613, 18.10,10, 0, 0
1283904988.849999, -161.971267, 0.00,1323565582.949999, -125.974613, 18.10,10, 0, 0
1303735285.899999, -161.971267, 0.00,1343395879.999999, -125.974613, 18.10,10, 0, 0
946789939.000000, -143.972940, 0.00,986450533.100000, -107.976286, 18.10,10, 0, 0
966620236.050000, -143.972940, 0.00,1006280830.150000, -107.976286, 18.10,10, 0, 0
986450533.100000, -143.972940, 0.00,1026111127.200000, -107.976286, 18.10,10, 0, 1
1006280830.150000, -143.972940, 0.00,1045941424.250000, -107.976286, 18.10,10, 0, 0
1026111127.200000, -143.972940, 0.00,1065771721.300000, -107.976286, 18.10,10, 0, 0
1045941424.250000, -143.972940, 0.00,1085602018.350000, -107.976286, 18.10,10, 0, 1
1065771721.300000, -143.972940, 0.00,1105432315.400000, -107.976286, 18.10,10, 0, 1
1085602018.350000, -143.972940, 0.00,1125262612.450000, -107.976286, 18.10,10, 0, 1
1105432315.400000, -143.972940, 0.00,1145092909.500000, -107.976286, 18.10,10, 0, 0
1125262612.450000, -143.972940, 0.00,1164923206.550000, -107.976286, 18.10,10, 0, 1
1145092909.500000, -143.972940, 0.00,1184753503.600000, -107.976286, 18.10,10, 0, 0
1164923206.549999, -143.972940, 0.00,1204583800.650000, -107.976286, 18.10,10, 0, 1
1184753503.599999, -143.972940, 0.00,1224414097.700000, -107.976286, 18.10,10, 0, 1
1204583800.649999, -143.972940, 0.00,1244244394.750000, -107.976286, 18.10,10, 0, 0
1224414097.699999, -143.972940, 0.00,1264074691.799999, -107.976286, 18.10,10, 0, 0
1244244394.749999, -143.972940, 0.00,1283904988.849999, -107.976286, 18.10,10, 0, 1
1264074691.799999, -143.972940, 0.00,1303735285.899999, -107.976286, 18.10,10, 0, 0
1283904988.849999, -143.972940, 0.00,1323565582.949999, -107.976286, 18.10,10, 0, 0
1303735285.899999, -143.972940, 0.00,1343395879.999999, -107.976286, 18.10,10, 0, 0
946789939.000000, -125.974613, 0.00,986450533.100000, -89.977960, 18.10,10, 0, 1
966620236.050000, -125.974613, 0.00,1006280830.150000, -89.977960, 18.10,10, 0, 0
986450533.100000, -125.974613, 0.00,1026111127.200000, -89.977960, 18.10,10, 0, 1
1006280830.150000, -125.974613, 0.00,1045941424.250000, -89.977960, 18.10,10, 0, 0
1026111127.200000, -125.974613, 0.00,1065771721.300000, -89.977960, 18.10,10, 0, 0
1045941424.250000, -125.974613, 0.00,1085602018.350000, -89.977960, 18.10,10, 0, 1
1065771721.300000, -125.974613, 0.00,1105432315.400000, -89.977960, 18.10,10, 0, 0
1085602018.350000, -125.974613, 0.00,1125262612.450000, -89.977960, 18.10,10, 0, 0
1105432315.400000, -125.974613, 0.00,1145092909.500000, -89.977960, 18.10,10, 0, 0
1125262612.450000, -125.974613, 0.00,1164923206.550000, -89.977960, 18.10,10, 0, 0
1145092909.500000, -125.974613, 0.00,1184753503.600000, -89.977960, 18.10,10, 0, 0
1164923206.549999, -125.974613, 0.00,1204583800.650000, -89.977960, 18.10,10, 0, 0
1184753503.599999, -125.974613, 0.00,1224414097.700000, -89.977960, 18.10,10, 0, 1
1204583800.649999, -125.974613, 0.00,1244244394.750000, -89.977960, 18.10,10, 0, 0
1224414097.699999, -125.974613, 0.00,1264074691.799999, -89.977960, 18.10,10, 0, 0
1244244394.749999, -125.974613, 0.00,1283904988.849999, -89.977960, 18.10,10, 0, 0
1264074691.799999, -125.974613, 0.00,1303735285.899999, -89.977960, 18.10,10, 0, 0
1283904988.849999, -125.974613, 0.00,1323565582.949999, -89.977960, 18.10,10, 0, 0
1303735285.899999, -125.974613, 0.00,1343395879.999999, -89.977960, 18.10,10, 0, 0
946789939.000000, -107.976286, 0.00,986450533.100000, -71.979633, 18.10,10, 0, 0
966620236.050000, -107.976286, 0.00,1006280830.150000, -71.979633, 18.10,10, 0, 1
986450533.100000, -107.976286, 0.00,1026111127.200000, -71.979633, 18.10,10, 0, 0
1006280830.150000, -107.976286, 0.00,1045941424.250000, -71.979633, 18.10,10, 0, 0
1026111127.200000, -107.976286, 0.00,1065771721.300000, -71.979633, 18.10,10, 0, 0
1045941424.250000, -107.976286, 0.00,1085602018.350000, -71.979633, 18.10,10, 0, 0
1065771721.300000, -107.976286, 0.00,1105432315.400000, -71.979633, 18.10,10, 0, 0
1085602018.350000, -107.976286, 0.00,1125262612.450000, -71.979633, 18.10,10, 0, 0
1105432315.400000, -107.976286, 0.00,1145092909.500000, -71.979633, 18.10,10, 0, 0
1125262612.450000, -107.976286, 0.00,1164923206.550000, -71.979633, 18.10,10, 0, 0
1145092909.500000, -107.976286, 0.00,1184753503.600000, -71.979633, 18.10,10, 0, 0
1164923206.549999, -107.976286, 0.00,1204583800.650000, -71.979633, 18.10,10, 0, 0
1184753503.599999, -107.976286, 0.00,1224414097.700000, -71.979633, 18.10,10, 0, 0
1204583800.649999, -107.976286, 0.00,1244244394.750000, -71.979633, 18.10,10, 0, 0
1224414097.699999, -107.976286, 0.00,1264074691.799999, -71.979633, 18.10,10, 0, 0
1244244394.749999, -107.976286, 0.00,1283904988.849999, -71.979633, 18.10,10, 0, 0
1264074691.799999, -107.976286, 0.00,1303735285.899999, -71.979633, 18.10,10, 0, 0
1283904988.849999, -107.976286, 0.00,1323565582.949999, -71.979633, 18.10,10, 0, 0
1303735285.899999, -107.976286, 0.00,1343395879.999999, -71.979633, 18.10,10, 0, 0
946789939.000000, -89.977960, 0.00,986450533.100000, -53.981306, 18.10,10, 0, 0
966620236.050000, -89.977960, 0.00,1006280830.150000, -53.981306, 18.10,10, 0, 0
