range query Quadratic
longitude min, lattitude min, timestamp min, longitude min, lattitude min, timestamp min, query_size, found, elasped time
111.666100, 26.266597, 1201980644.00,116.793240, 29.523035, 1202033975.50,10, 13, 79
114.229670, 26.266597, 1201980644.00,119.356810, 29.523035, 1202033975.50,10, 15, 34
116.793240, 26.266597, 1201980644.00,121.920380, 29.523035, 1202033975.50,10, 4, 15
119.356810, 26.266597, 1201980644.00,124.483950, 29.523035, 1202033975.50,10, 1, 11
121.920380, 26.266597, 1201980644.00,127.047520, 29.523035, 1202033975.50,10, 0, 7
124.483950, 26.266597, 1201980644.00,129.611090, 29.523035, 1202033975.50,10, 0, 7
127.047520, 26.266597, 1201980644.00,132.174660, 29.523035, 1202033975.50,10, 0, 3
129.611090, 26.266597, 1201980644.00,134.738230, 29.523035, 1202033975.50,10, 0, 3
83.466830, 27.894816, 1201980644.00,88.593970, 31.151254, 1202033975.50,10, 0, 2
86.030400, 27.894816, 1201980644.00,91.157540, 31.151254, 1202033975.50,10, 12, 8
88.593970, 27.894816, 1201980644.00,93.721110, 31.151254, 1202033975.50,10, 12, 6
91.157540, 27.894816, 1201980644.00,96.284680, 31.151254, 1202033975.50,10, 0, 4
93.721110, 27.894816, 1201980644.00,98.848250, 31.151254, 1202033975.50,10, 0, 4
96.284680, 27.894816, 1201980644.00,101.411820, 31.151254, 1202033975.50,10, 0, 6
98.848250, 27.894816, 1201980644.00,103.975390, 31.151254, 1202033975.50,10, 19, 22
101.411820, 27.894816, 1201980644.00,106.538960, 31.151254, 1202033975.50,10, 44, 27
103.975390, 27.894816, 1201980644.00,109.102530, 31.151254, 1202033975.50,10, 93, 38
106.538960, 27.894816, 1201980644.00,111.666100, 31.151254, 1202033975.50,10, 83, 36
109.102530, 27.894816, 1201980644.00,114.229670, 31.151254, 1202033975.50,10, 24, 26
111.666100, 27.894816, 1201980644.00,116.793240, 31.151254, 1202033975.50,10, 32, 57
114.229670, 27.894816, 1201980644.00,119.356810, 31.151254, 1202033975.50,10, 27, 49
116.793240, 27.894816, 1201980644.00,121.920380, 31.151254, 1202033975.50,10, 9, 22
119.356810, 27.894816, 1201980644.00,124.483950, 31.151254, 1202033975.50,10, 11, 19
121.920380, 27.894816, 1201980644.00,127.047520, 31.151254, 1202033975.50,10, 6, 10
124.483950, 27.894816, 1201980644.00,129.611090, 31.151254, 1202033975.50,10, 0, 7
127.047520, 27.894816, 1201980644.00,132.174660, 31.151254, 1202033975.50,10, 0, 3
129.611090, 27.894816, 1201980644.00,134.738230, 31.151254, 1202033975.50,10, 0, 3
83.466830, 29.523035, 1201980644.00,88.593970, 32.779473, 1202033975.50,10, 0, 2
86.030400, 29.523035, 1201980644.00,91.157540, 32.779473, 1202033975.50,10, 12, 6
88.593970, 29.523035, 1201980644.00,93.721110, 32.779473, 1202033975.50,10, 12, 6
91.157540, 29.523035, 1201980644.00,96.284680, 32.779473, 1202033975.50,10, 0, 4
93.721110, 29.523035, 1201980644.00,98.848250, 32.779473, 1202033975.50,10, 0, 5
96.284680, 29.523035, 1201980644.00,101.411820, 32.779473, 1202033975.50,10, 0, 5
98.848250, 29.523035, 1201980644.00,103.975390, 32.779473, 1202033975.50,10, 19, 21
101.411820, 29.523035, 1201980644.00,106.538960, 32.779473, 1202033975.50,10, 42, 25
103.975390, 29.523035, 1201980644.00,109.102530, 32.779473, 1202033975.50,10, 87, 35
106.538960, 29.523035, 1201980644.00,111.666100, 32.779473, 1202033975.50,10, 81, 36
109.102530, 29.523035, 1201980644.00,114.229670, 32.779473, 1202033975.50,10, 33, 31
111.666100, 29.523035, 1201980644.00,116.793240, 32.779473, 1202033975.50,10, 37, 119
114.229670, 29.523035, 1201980644.00,119.356810, 32.779473, 1202033975.50,10, 25, 59
116.793240, 29.523035, 1201980644.00,121.920380, 32.779473, 1202033975.50,10, 274, 70
119.356810, 29.523035, 1201980644.00,124.483950, 32.779473, 1202033975.50,10, 276, 68
121.920380, 29.523035, 1201980644.00,127.047520, 32.779473, 1202033975.50,10, 6, 11
124.483950, 29.523035, 1201980644.00,129.611090, 32.779473, 1202033975.50,10, 0, 6
127.047520, 29.523035, 1201980644.00,132.174660, 32.779473, 1202033975.50,10, 0, 3
129.611090, 29.523035, 1201980644.00,134.738230, 32.779473, 1202033975.50,10, 0, 3
83.466830, 31.151254, 1201980644.00,88.593970, 34.407692, 1202033975.50,10, 0, 2
86.030400, 31.151254, 1201980644.00,91.157540, 34.407692, 1202033975.50,10, 0, 4
88.593970, 31.151254, 1201980644.00,93.721110, 34.407692, 1202033975.50,10, 0, 4
91.157540, 31.151254, 1201980644.00,96.284680, 34.407692, 1202033975.50,10, 0, 4
93.721110, 31.151254, 1201980644.00,98.848250, 34.407692, 1202033975.50,10, 0, 4
96.284680, 31.151254, 1201980644.00,101.411820, 34.407692, 1202033975.50,10, 0, 5
98.848250, 31.151254, 1201980644.00,103.975390, 34.407692, 1202033975.50,10, 0, 17
101.411820, 31.151254, 1201980644.00,106.538960, 34.407692, 1202033975.50,10, 3, 20
103.975390, 31.151254, 1201980644.00,109.102530, 34.407692, 1202033975.50,10, 17, 58
106.538960, 31.151254, 1201980644.00,111.666100, 34.407692, 1202033975.50,10, 24, 30
109.102530, 31.151254, 1201980644.00,114.229670, 34.407692, 1202033975.50,10, 22, 32
111.666100, 31.151254, 1201980644.00,116.793240, 34.407692, 1202033975.50,10, 25, 75
114.229670, 31.151254, 1201980644.00,119.356810, 34.407692, 1202033975.50,10, 57, 80
116.793240, 31.151254, 1201980644.00,121.920380, 34.407692, 1202033975.50,10, 378, 96
119.356810, 31.151254, 1201980644.00,124.483950, 34.407692, 1202033975.50,10, 334, 80
121.920380, 31.151254, 1201980644.00,127.047520, 34.407692, 1202033975.50,10, 0, 9
124.483950, 31.151254, 1201980644.00,129.611090, 34.407692, 1202033975.50,10, 0, 7
127.047520, 31.151254, 1201980644.00,132.174660, 34.407692, 1202033975.50,10, 0, 3
129.611090, 31.151254, 1201980644.00,134.738230, 34.407692, 1202033975.50,10, 0, 3
83.466830, 32.779473, 1201980644.00,88.593970, 36.035911, 1202033975.50,10, 0, 2
86.030400, 32.779473, 1201980644.00,91.157540, 36.035911, 1202033975.50,10, 0, 4
88.593970, 32.779473, 1201980644.00,93.721110, 36.035911, 1202033975.50,10, 0, 4
91.157540, 32.779473, 1201980644.00,96.284680, 36.035911, 1202033975.50,10, 0, 4
93.721110, 32.779473, 1201980644.00,98.848250, 36.035911, 1202033975.50,10, 0, 4
