insert Star
chunk size, average elapsed time
24223697records have been loaded.
1000, 5036.74, 10276.87
24223697records have been loaded.
2000, 13515.71, 26241.32
24223697records have been loaded.
4000, 41312.76, 78635.04
24223697records have been loaded.
8000, 126675.03, 252172.67
24223697records have been loaded.
16000, 290541.95, 542307.30
24223697records have been loaded.
32000, 637500.03, 1159702.26
24223697records have been loaded.
64000, 1350540.40, 2475826.99
24223697records have been loaded.
128000, 2750723.30, 5335231.98
24223697records have been loaded.
256000, 5561199.59, 11301095.80
24223697records have been loaded.
512000, 11713228.15, 25368432.09
24223697records have been loaded.
1024000, 23102579.87, 52535203.48
24223697records have been loaded.
2048000, 47564403.73, 110040240.64
24223697records have been loaded.
4096000, 98696656.60, 238964753.80
24223697records have been loaded.
8192000, 212339827.00, 554734273.50
24223697records have been loaded.
16384000, 487514769.00, 1442107453.00
