insert Linear
chunk size, average elapsed time
1000, 1937.43, 6019.94
2000, 4295.33, 13955.55
4000, 10418.48, 35171.40
8000, 25667.69, 90380.26
16000, 56958.98, 224748.70
32000, 120731.97, 569140.93
64000, 252804.50, 1428652.53
128000, 545376.46, 3507115.43
256000, 1209942.66, 8420413.07
512000, 2740211.15, 20875270.88
1024000, 5827317.24, 56639386.47
2048000, 12299995.62, 164739490.12
4096000, 25640987.75, 420721999.00
8192000, 53700272.50, 1030633719.50
16384000, 118693404.00, 1693168730.00
