point query Linear
chunk size, average elapsed time
1000, 926400
2000, 1824801
4000, 3638023
8000, 7304862
16000, 14559305
32000, 29744009
64000, 60547679
128000, 120518403
256000, 239349678
512000, 474539229
1024000, 914211077
2048000, 1771393350
4096000, 3483886333
8192000, 6903821002
16384000, 13743943143
